anime_name,anime_season,anime_type
无头骑士异闻录×2,201001,电击文库 轻小说 冒险 奇幻 
守护猫娘绯鞠,201001,后宫 恋爱 
神隐之狼,201001,游戏 推理 冒险 恋爱 
壳中少女,201001,科幻 剧场版 
笨蛋测验召唤兽,201001,搞笑 青春 恋爱 
无头骑士异闻录,201001,电击文库 轻小说 冒险 奇幻 
超能泡蛋,201001,冒险 奇幻 
刀语,201001,轻小说 冒险 奇幻 
Angel Beats！,201004,青春 冒险 
寒蝉鸣泣之时OVA,201004,搞笑 治愈系 游戏 美少女 
娇蛮猫娘大横行,201004,搞笑 青春 轻小说 后宫 
轻音少女第二季,201004,治愈系 青春 美少女 励志 百合 
迷糊餐厅 第一季,201004,搞笑 恋爱 
英雄人,201004,热血 
变身！偶像公主,201004,冒险 童年 恋爱 美少女 
逆转监督,201004,运动 
少女妖怪石榴,201004,冒险 奇幻 
大神与七位伙伴们,201004,搞笑 电击文库 恋爱 美少女 
怪物猎人日记,201004,搞笑 游戏 泡面番 
吊带袜天使,201004,搞笑 冒险 奇幻 
空之音,201004,美少女 
恋姬无双·乙女大乱,201004,游戏 热血 恋爱 乙女 
滑头鬼之孙 千年魔京,201007,热血 冒险 奇幻 
传说中勇者的传说,201007,轻小说 冒险 奇幻 
强袭魔女 第二季,201007,萝莉 励志 百合 动作 
尸鬼,201007,治愈系 恐怖 奇幻 
世纪末超自然学院,201007,青春 冒险 奇幻 
妄想学生会,201007,青春 后宫 
滑头鬼之孙 第一季,201007,热血 冒险 奇幻 
侠义小青天,201007,推理 
咎狗之血,201007,耽美 游戏 动作 
借东西的小人阿莉埃蒂,201007,奇幻 独立电影 
和殿下一起,201007,搞笑 耽美 热血 
女仆咖啡厅,201007,治愈系 恋爱 
只有神知道的世界,201010,搞笑 推理 青春 
银魂剧场版,201010,搞笑 热血 剧场版 
薄樱鬼碧血录,201010,治愈系 奇幻 
小马宝莉,201010,治愈系 奇幻 
魔法禁书目录第二季,201010,电击文库 轻小说 后宫 奇幻 
海月姬,201010,搞笑 治愈系 青春 乙女 
赤之约束,201010,游戏 后宫 
我的妹妹哪有这么可爱第一季,201010,治愈系 电击文库 青春 轻小说 后宫 恋爱 
心灵侦探八云,201010,推理 
向阳素描第三季,201010,搞笑 
梦色蛋糕师第二季,201010,恋爱 美少女 
